file,class,method,variable,usage
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/List/./Run.java,Run,reportBenchmark/0,total,2
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/List/./Run.java,Run,reportBenchmark/0,numIterations,2
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/List/./Run.java,Run,reportBenchmark/0,name,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/List/./Run.java,Run,measure/1[Benchmark],total,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/List/./Run.java,Run,measure/1[Benchmark],innerIterations,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/List/./Run.java,Run,printTotal/0,total,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/List/./Run.java,Run,runBenchmark/0,benchmarkSuite,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/List/./Run.java,Run,runBenchmark/0,name,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/List/./Run.java,Run,printResult/1[long],numIterations,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/List/./Run.java,Run,printResult/1[long],name,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/List/./Run.java,Run,setNumIterations/1[int],numIterations,3
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/List/./Run.java,Run,setInnerIterations/1[int],innerIterations,3
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/List/./Run.java,Run,Run/1[java.lang.String],benchmarkSuite,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/List/./Run.java,Run,Run/1[java.lang.String],numIterations,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/List/./Run.java,Run,Run/1[java.lang.String],name,4
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/List/./Run.java,Run,Run/1[java.lang.String],innerIterations,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/List/./Run.java,Run,getSuiteFromName/1[java.lang.String],name,2
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/List/./Run.java,Run,doRuns/1[Benchmark],numIterations,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/List/./List.java,List$Element,length/0,next,2
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/List/./List.java,List$Element,setVal/1[java.lang.Object],val,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/List/./List.java,List$Element,setNext/1[List.Element],next,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/List/./List.java,List$Element,getVal/0,val,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/List/./List.java,List$Element,getNext/0,next,1
/home/octavel/msc_thesis_shenanigans/msc_thesis_2021/input_data/awfy_codebases_separated/List/./List.java,List$Element,Element/1[java.lang.Object],val,1
